2026-07-24, 13:33:54, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.4375000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:33:56, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.4375000000, 23.5000000000, 23.2500000000, 22.9375000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:33:58, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.5000000000, 23.4375000000, 23.2500000000, 22.9375000000, 25.3283462524, 24.5504302978, Fault 0x, 24.3476352691
2026-07-24, 13:34:00, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.4375000000, 23.4375000000, 23.2500000000, 22.9375000000, 25.2946815490, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:34:02, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.4375000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:34:03, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.2946815490, 24.5504302978, Fault 0x, 24.3476352691
2026-07-24, 13:34:05, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.4375000000, 23.4375000000, 23.2500000000, 22.9375000000, 25.3283462524, 24.5504302978, Fault 0x, 24.3476352691
2026-07-24, 13:34:07, 23.0747222900, 22.9780578613, 23.1714477539, 23.0747222900, 23.5000000000, 23.4375000000, 23.2500000000, 22.9375000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:34:09, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:34:10, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.3125000000, 23.0000000000, 25.2946815490, 24.5842971801, Fault 0x, 24.3476352691
2026-07-24, 13:34:12, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.2946815490, 24.5842971801, Fault 0x, 24.3812999725
2026-07-24, 13:34:14, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.4375000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3812999725
2026-07-24, 13:34:16, 23.0747222900, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.5000000000, 23.2500000000, 23.0000000000, 25.2946815490, 24.5842971801, Fault 0x, 24.3812999725
2026-07-24, 13:34:18, 23.1714477539, 22.9780578613, 23.1714477539, 23.0747222900, 23.5000000000, 23.5000000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.3812999725
2026-07-24, 13:34:19, 23.1714477539, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.3125000000, 23.0000000000, 25.3283462524, 24.6181621551, Fault 0x, 24.4151668548
2026-07-24, 13:34:21, 23.1714477539, 22.9780578613, 23.1714477539, 23.1714477539, 23.5000000000, 23.4375000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.6181621551, Fault 0x, 24.4151668548
2026-07-24, 13:34:23, 23.1714477539, 22.9780578613, 23.2682189941, 23.1714477539, 23.4375000000, 23.5000000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.5842971801, Fault 0x, 24.4151668548
2026-07-24, 13:34:25, 23.1714477539, 22.9780578613, 23.2682189941, 23.1714477539, 23.5000000000, 23.5000000000, 23.2500000000, 23.0000000000, 25.3283462524, 24.6181621551, Fault 0x, 24.4151668548
2026-07-24, 13:34:26, 23.1714477539, 22.9780578613, 23.2682189941, 23.1714477539, 23.4375000000, 23.5000000000, 23.3125000000, 23.0000000000, 25.3283462524, 24.6181621551, Fault 0x, 24.4151668548
2026-07-24, 13:34:28, 23.1714477539, 22.9780578613, 23.2682189941, 23.1714477539, 23.5000000000, 23.5000000000, 23.3125000000, 23.0000000000, 25.3283462524, 24.6181621551, Fault 0x, 24.4151668548
2026-07-24, 13:34:30, 23.1714477539, 22.9780578613, 23.2682189941, 23.1714477539, 23.5000000000, 23.5000000000, 23.3125000000, 23.0000000000, 25.3283462524, 24.6520290374, Fault 0x, 24.4828987121
